Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
1985;73,3;72;75,3;45,8;27;28,2;24,9;22,6;31,9;20,5;29,3;25;39,7
1986;35,9;49;53,3;32,5;34;21,9;18,3;26,8;16;17,6;24,4;89,3;34,9
1987;82,4;75,1;75;49,7;78,6;65,3;44,2;36,2;36,1;33,7;31,8;34,7;53,6
1988;64,9;75,6;87,7;75,5;61,5;54,8;35,6;30,6;26,1;38;36;40,6;52,2
1989;90,8;100,6;79,7;50,1;40,8;39;40,2;35,8;33,7;25,7;28;38,4;50,2
1990;80,4;34,1;57,6;36,6;34,8;25,6;30,9;27,9;28,7;32,3;27,8;27,3;37
1991;55,3;70;97,1;94,1;54,4;40,2;32,6;26,5;24,2;48,5;23,9;35,2;50,2
1992;31,4;38;39,3;32,4;33,7;21,6;20,4;17,7;28;42,8;53,8;49,2;34
1993;45,7;72,7;56,9;45,2;35,3;36,1;23,3;21,5;35,5;30,9;21,1;25,3;37,5
1994;43,6;48,8;56,7;41,1;31,5;24,4;22,2;16,8;12,1;21,9;24,3;43,8;32,3
1995;45,8;158,1;84,6;66,9;45,4;33,6;36,2;24;23;50,3;37,3;40,7;53,8
1996;96,8;81,6;115,9;63,4;43,1;34,4;26,3;24,6;45,8;37,3;44,9;68,7;56,9
1997;85,8;70,5;48,6;35,4;30;42,4;24,5;19,8;21;27,8;40,7;46,8;41,1
1998;43,6;67;53,1;36,2;35,8;26,2;21;16,7;20,5;42,4;27,3;52,7;36,9
1999;122,3;89,2;66,5;40,1;30,5;32,7;22,8;16,8;20,9;15,4;16,8;30,5;42
2000;66,5;64,5;46,3;31,4;20,1;17,3;19,7;19,3;28,5;14;33,8;52,6;34,5
2001;41;53,4;40,2;32,5;23,8;17,7;15,8;14,3;17,2;36,8;34;54,2;31,7
2002;75,4;71,9;54,9;39,4;29,1;21,1;16,8;19,5;20;14,6;25,8;32,5;35,1
2003;79,4;55;37,9;24,7;21,4;16,5;13,9;12;11,8;18,9;21,9;40,1;29,5
2004;34,8;62,4;39,3;36,3;34,6;40,4;32,5;19,4;15,9;26,9;33,3;39;34,6
2005;78,8;55,3;58,4;37,2;42,8;28,2;24,1;17,7;25,3;25,7;33,1;41,5;39
2006;52,4;85,6;66,7;42,8;27,5;23,6;22,1;17,1;17,2;20,1;23,1;42;36,7
2007;77,1;40,3;34,7;30,9;22,5;23,7;34,4;19,1;13,9;17,1;46,7;36,9;33,1
2008;47;58;66,5;59;42,2;35,7;23,2;26;18,1;24,6;31,6;40,5;39,4
2009;67,4;100,3;66,7;43,4;31,7;28,7;33,6;25,3;34,5;41;42,6;109,1;52
2010;132,8;78,2;72,7;56,3;33,7;26,8;28,8;18,2;18,1;18,7;26;46,5;46,4
2011;144,9;52,4;80;58,1;35,3;31,3;24,1;19,5;16,5;23,9;33,7;32,1;46
2012;64,1;37,3;28,1;27,8;32,3;48,7;31;16,9;14;20,4;18,1;32,3;30,9
